Date,Type,Month,Sett_PC,Change,Vol,OI,Delta
2026-03-05,ALL,MAR26,25049.50,-78.75,935180.5,281605.6,-1001.4
2026-03-05,RET,MAR26,25049.50,-78.75,253093.5,15460.6,390.6
2026-03-05,ALL,JUN26,25267.00,-80.00,7229.8,7812.1,1122.6
2026-03-05,RET,JUN26,25267.00,-80.00,1193.8,801.1,21.6
2026-03-05,ALL,SEP26,25492.00,-81.00,44.8,124.8,7.9
2026-03-05,RET,SEP26,25492.00,-81.00,17.8,27.8,2.9000000000000004
2026-03-05,ALL,DEC26,25719.25,-81.00,0.0,4.4,0.0
2026-03-05,RET,DEC26,25719.25,-81.00,0.0,1.4000000000000001,0.0
2026-03-05,ALL,MAR27,0.00,+0.00,0.0,0.4,0.0
2026-03-05,RET,MAR27,0.00,+0.00,0.0,0.4,0.0
2026-03-05,ALL,DEC29,28582.25,-81.00,0.0,1.0,0.0
2026-03-05,RET,DEC29,28582.25,-81.00,0,0,0
2026-03-05,OPT,MAR26,1.95,-,40898.3,-73093.5,-2431.0000000000005
2026-03-05,OPT,APR26,5.00,-,6589.0,-6403.0,2089.0
2026-03-05,OPT,MAY26,3.46,-,290.0,-691.0,-127.0
2026-03-05,OPT,JUN26,0.85,-,2501.0,-6576.0,800.0
2026-03-05,OPT,SEP26,1.16,-,290.0,-967.0,-49.0
2026-03-05,OPT,DEC26,0.00,-,136.0,-510.0,16.0
2026-03-05,OPT,DEC27,0.00,-,0.0,237.0,0.0
2026-03-05,OPT,DEC28,0.00,-,0.0,915.0,0.0
2026-03-05,OPT,DEC29,0.00,-,0.0,-1.0,0.0
2026-03-06,ALL,MAR26,24670.25,-379.25,909898.2,283538.9,1933.3
2026-03-06,RET,MAR26,24670.25,-379.25,267822.2,15886.900000000001,426.3
2026-03-06,ALL,JUN26,24883.25,-383.75,7085.3,7823.7,11.600000000000001
2026-03-06,RET,JUN26,24883.25,-383.75,1224.3,864.7,63.6
2026-03-06,ALL,SEP26,25109.50,-382.50,41.9,126.9,2.1
2026-03-06,RET,SEP26,25109.50,-382.50,14.9,28.900000000000002,1.1
2026-03-06,ALL,DEC26,25356.50,-362.75,0.0,4.4,0.0
2026-03-06,RET,DEC26,25356.50,-362.75,0.0,1.4000000000000001,0.0
2026-03-06,ALL,MAR27,0.00,+0.00,0.0,0.5,0.1
2026-03-06,RET,MAR27,0.00,+0.00,0.0,0.5,0.1
2026-03-06,ALL,DEC29,28101.25,-481.00,0.0,1.0,0.0
2026-03-06,RET,DEC29,28101.25,-481.00,0,0,0
2026-03-06,OPT,MAR26,2.26,-,76488.9,-75407.2,-1790.0000000000036
2026-03-06,OPT,APR26,2.82,-,2838.0,-7060.0,-657.0
2026-03-06,OPT,MAY26,2.41,-,420.0,-766.0,-75.0
2026-03-06,OPT,JUN26,2.65,-,1601.0,-6512.0,64.0
2026-03-06,OPT,SEP26,4.85,-,76.0,-1004.0,-37.0
2026-03-06,OPT,DEC26,3.30,-,43.0,-520.0,-10.0
2026-03-06,OPT,DEC27,0.00,-,0.0,237.0,0.0
