Date,Type,Month,Sett_PC,Change,Vol,OI,Delta
2026-03-02,ALL,FEB26,66071,+0,0.0,0.0,-4080.7200000000003
2026-03-02,RET,FEB26,66071,+0,0.0,0.0,-2038.7200000000003
2026-03-02,ALL,MAR26,69480,+3600,26074.239999999998,20512.760000000002,306.8
2026-03-02,RET,MAR26,69480,+3600,9607.24,2009.76,117.80000000000001
2026-03-02,ALL,APR26,69765,+3625,2602.9,11802.5,840.8
2026-03-02,RET,APR26,69765,+3625,247.9,9941.5,13.8
2026-03-02,ALL,MAY26,70080,+3655,92.5,134.5,7.8
2026-03-02,RET,MAY26,70080,+3655,6.5,10.5,0.8
2026-03-02,ALL,JUN26,70330,+3660,6.3,204.5,1.6
2026-03-02,RET,JUN26,70330,+3660,1.3,9.5,0.6000000000000001
2026-03-02,ALL,JUL26,70620,+3660,0.30000000000000004,1.3,0.30000000000000004
2026-03-02,RET,JUL26,70620,+3660,0.30000000000000004,0.30000000000000004,0.30000000000000004
2026-03-02,ALL,SEP26,71360,+3700,8.0,157.3,6.0
2026-03-02,RET,SEP26,71360,+3700,0.0,1.3,0.0
2026-03-02,ALL,DEC26,72295,+3745,0.0,8.2,0.0
2026-03-02,RET,DEC26,72295,+3745,0.0,4.2,0.0
2026-03-02,OPT,MAR26,0.55,-,129.0,1210.0,18.0
2026-03-02,OPT,APR26,0.40,-,7.0,-231.0,3.0
2026-03-02,OPT,MAY26,10.00,-,11.0,-25.0,-7.0
2026-03-02,OPT,JUN26,0.00,-,4.0,-324.0,4.0
2026-03-03,ALL,MAR26,68465,-1015,21299.46,20114.62,-413.34000000000003
2026-03-03,RET,MAR26,68465,-1015,9283.46,2126.6200000000003,78.66
2026-03-03,ALL,APR26,68710,-1055,2728.9,11796.5,21.6
2026-03-03,RET,APR26,68710,-1055,265.90000000000003,9941.5,27.6
2026-03-03,ALL,MAY26,69025,-1055,38.9,138.8,4.300000000000001
2026-03-03,RET,MAY26,69025,-1055,6.9,12.8,2.3000000000000003
2026-03-03,ALL,JUN26,69285,-1045,5.4,204.1,-0.3999999999999999
2026-03-03,RET,JUN26,69285,-1045,3.4000000000000004,10.100000000000001,0.6000000000000001
2026-03-03,ALL,JUL26,69580,-1040,0.1,1.3,0.0
2026-03-03,RET,JUL26,69580,-1040,0.1,0.30000000000000004,0.0
2026-03-03,ALL,SEP26,70325,-1035,0.1,157.4,0.1
2026-03-03,RET,SEP26,70325,-1035,0.1,1.4000000000000001,0.1
2026-03-03,ALL,DEC26,71250,-1045,0.0,8.2,0.0
2026-03-03,RET,DEC26,71250,-1045,0.0,4.2,0.0
2026-03-03,OPT,MAR26,1.28,-,89.0,1199.0,-11.0
2026-03-03,OPT,APR26,0.55,-,214.0,-219.0,12.0
2026-03-03,OPT,MAY26,0.00,-,4.0,-29.0,-4.0
2026-03-03,OPT,JUN26,5.00,-,12.0,-327.0,-3.0
2026-03-03,OPT,SEP26,0.00,-,12.0,-53.0,-12.0
2026-03-04,ALL,MAR26,73445,+4980,26570.7,21138.38,1038.6599999999999
