Date,ID,Sett,Pct,Vol,OI,Delta
2026-02-20,COMM,611.15,0.01%,417,22444,90
2026-02-20,DISC,2377.3,1.03%,292,9138,2
2026-02-20,ENER,1151.0,-0.62%,1523,21700,-448
2026-02-20,FINA,646.48,0.57%,888,80023,95
2026-02-20,HLTH,1584.9,-0.35%,617,19203,35
2026-02-20,INDU,1789.3,0.49%,614,14992,48
2026-02-20,MATL,1125.0,0.23%,881,10749,-194
2026-02-20,REIT,213.65,0.01%,1233,9905,-8
2026-02-20,STAP,887.7,0.15%,403,28514,-19
2026-02-20,TECH,2843.1,0.43%,525,18620,34
2026-02-20,UTIL,935.5,0.39%,428,24438,100
2026-02-23,COMM,603.6,-0.01%,441,22493,64
2026-02-23,DISC,2326.6,-2.13%,223,9159,30
2026-02-23,ENER,1156.4,0.47%,1757,21805,292
2026-02-23,FINA,624.78,-3.36%,1684,80369,360
2026-02-23,HLTH,1601.9,1.07%,815,19390,201
2026-02-23,INDU,1764.5,-1.39%,389,15012,35
2026-02-23,MATL,1124.8,-0.02%,712,10774,50
2026-02-23,REIT,214.05,0.00%,410,9840,-19
2026-02-23,STAP,898.8,1.25%,752,28528,14
2026-02-23,TECH,2795.7,-1.67%,499,18647,35
2026-02-23,UTIL,942.5,0.75%,648,24508,96
