Date,ID,Sett,Pct,Vol,OI,Delta
2026-02-20,COMM,611.15,0.01%,417,22444,90
2026-02-20,DISC,2377.3,1.03%,292,9138,2
2026-02-20,ENER,1151.0,-0.62%,1523,21700,-448
2026-02-20,FINA,646.48,0.57%,888,80023,95
2026-02-20,HLTH,1584.9,-0.35%,617,19203,35
2026-02-20,INDU,1789.3,0.49%,614,14992,48
2026-02-20,MATL,1125.0,0.23%,881,10749,-194
2026-02-20,REIT,213.65,0.01%,1233,9905,-8
2026-02-20,STAP,887.7,0.15%,403,28514,-19
2026-02-20,TECH,2843.1,0.43%,525,18620,34
2026-02-20,UTIL,935.5,0.39%,428,24438,100
2026-02-23,COMM,603.6,-0.01%,441,22493,64
2026-02-23,DISC,2326.6,-2.13%,223,9159,30
2026-02-23,ENER,1156.4,0.47%,1757,21805,292
2026-02-23,FINA,624.78,-3.36%,1684,80369,360
2026-02-23,HLTH,1601.9,1.07%,815,19390,201
2026-02-23,INDU,1764.5,-1.39%,389,15012,35
2026-02-23,MATL,1124.8,-0.02%,712,10774,50
2026-02-23,REIT,214.05,0.00%,410,9840,-19
2026-02-23,STAP,898.8,1.25%,752,28528,14
2026-02-23,TECH,2795.7,-1.67%,499,18647,35
2026-02-23,UTIL,942.5,0.75%,648,24508,96
2026-02-24,COMM,607.9,0.01%,274,22597,104
2026-02-24,DISC,2362.3,1.53%,1975,9116,-43
2026-02-24,ENER,0.0,0.00%,1476,21965,176
2026-02-24,FINA,627.82,0.49%,2641,81599,1230
2026-02-24,HLTH,1595.8,-0.38%,523,19350,-40
2026-02-24,INDU,1786.7,1.26%,299,14997,5
2026-02-24,MATL,1133.5,0.77%,1419,10741,-33
2026-02-24,REIT,214.6,0.00%,1196,9870,30
2026-02-24,STAP,906.6,0.87%,6130,27665,-863
2026-02-24,TECH,2832.7,1.32%,475,18775,129
2026-02-24,UTIL,953.3,1.15%,3574,24928,420
2026-02-25,COMM,609.5,0.00%,211,22707,110
2026-02-25,DISC,2369.6,0.31%,136,7527,-1589
2026-02-25,ENER,1151.4,-0.43%,1033,21770,-153
2026-02-25,FINA,638.62,1.72%,1976,80096,-1503
2026-02-25,HLTH,1595.5,-0.02%,415,19308,-42
2026-02-25,INDU,1772.3,-0.81%,1216,16008,1029
2026-02-25,MATL,1126.8,-0.59%,523,10707,-34
2026-02-25,REIT,213.15,-0.01%,917,9891,21
2026-02-25,STAP,899.1,-0.83%,714,24269,-3396
2026-02-25,TECH,2886.9,1.91%,1220,18848,73
2026-02-25,UTIL,956.2,0.30%,540,23007,-1921
2026-02-26,COMM,610.4,0.00%,320,22661,-8
2026-02-26,DISC,2368.1,-0.06%,129,7518,-9
2026-02-26,ENER,1153.9,0.22%,1929,21757,5
2026-02-26,FINA,646.3,1.20%,871,80179,83
2026-02-26,HLTH,1590.7,-0.30%,630,19382,74
2026-02-26,INDU,1783.1,0.61%,508,16227,224
2026-02-26,MATL,1125.4,-0.12%,339,10692,-15
2026-02-26,REIT,214.1,0.00%,731,9844,-77
2026-02-26,STAP,897.5,-0.18%,1629,24393,124
2026-02-26,TECH,2845.5,-1.43%,1087,18837,-11
2026-02-26,UTIL,952.2,-0.42%,1077,22821,-186
2026-02-27,COMM,617.5,0.01%,304,22653,22
2026-02-27,DISC,2364.4,-0.16%,238,7509,-9
2026-02-27,ENER,1172.0,1.57%,1414,21688,17
2026-02-27,FINA,633.16,-2.03%,951,80169,-10
2026-02-27,HLTH,1617.9,1.71%,684,19491,109
2026-02-27,INDU,1786.9,0.21%,290,16193,-26
2026-02-27,MATL,1133.6,0.73%,688,10771,79
2026-02-27,REIT,215.1,0.00%,765,9992,148
2026-02-27,STAP,908.8,1.26%,565,24370,-23
2026-02-27,TECH,2799.9,-1.60%,535,18907,70
2026-02-27,UTIL,962.9,1.12%,782,22688,-133
